Date,Livingroom_1,Livingroom_2,Livingroom_3,Bedroom,Staircase_Low,Staircase_Up
2013-02-24,0.289572,4.78323,0.0,0.56431,0.0,0.0
2013-02-25,0.287972,4.78163,0.0,0.56271,0.0,0.0
2013-02-26,0.286372,4.78003,0.0,0.56111,0.0,0.0
2013-02-27,0.284772,4.77843,0.0,0.55951,0.0,0.0
2013-02-28,0.283172,4.77683,0.0,0.558767,0.0,0.0
2013-03-01,0.281572,4.77523,0.0,0.564247,0.0,0.0
2013-03-02,0.279972,4.77363,0.0,0.570804,0.0,0.0
2013-03-03,0.278372,4.77203,0.0,0.576943,0.0,0.0
2013-03-04,0.276772,4.77043,0.0,0.580547,0.0,0.0
2013-03-05,0.275172,4.76883,0.0,0.583378,0.0,0.0
2013-03-06,0.273572,4.76723,0.0,0.589699,0.0,0.0
2013-03-07,0.271972,4.76563,0.0,0.593963,0.0,0.0
2013-03-08,0.270372,4.76403,0.0,0.593359,0.0,0.0
2013-03-09,0.268772,4.76243,0.0,0.594095,0.0,0.0
2013-03-10,0.267172,4.76083,0.0,0.595004,0.0,0.0
2013-03-11,0.265572,4.75923,0.0,0.593938,0.0,0.0
2013-03-12,0.263972,4.75763,0.0,0.592338,0.0,0.0
2013-03-13,0.262372,4.75603,0.0,0.590738,0.0,0.0
2013-03-14,0.260772,4.75443,0.0,0.589138,0.0,0.0
2013-03-15,0.259172,4.75283,0.0,0.587538,0.0,0.0
2013-03-16,0.257572,4.75123,0.0,0.585938,0.0,0.0
2013-03-17,0.255972,4.74963,0.0,0.584338,0.0,0.0
2013-03-18,0.254372,4.74803,0.0,0.582738,0.0,0.0
2013-03-19,0.252772,4.74643,0.0,0.581138,0.0,0.0
2013-03-20,0.251172,4.74483,0.0,0.579538,0.0,0.0
2013-03-21,0.249572,4.74323,0.0,0.577938,0.0,0.0
2013-03-22,0.247972,4.74163,0.0,0.576338,0.0,0.0
2013-03-23,0.246372,4.74003,0.0,0.574738,0.0,0.0
2013-03-24,0.244772,4.73843,0.0,0.573138,0.0,0.0
2013-03-25,0.243172,4.73683,0.0,0.571538,0.0,0.0
2013-03-26,0.241572,4.73523,0.0,0.569938,0.0,0.0
2013-03-27,0.239972,4.73363,0.0,0.568338,0.0,0.0
2013-03-28,0.238372,4.73203,0.0,0.566738,0.0,0.0
2013-03-29,0.236772,4.73043,0.0,0.565138,0.0,0.0
2013-03-30,0.235172,4.72883,0.0,0.563538,0.0,0.0
2013-03-31,0.233572,4.72723,0.0,0.561938,0.0,0.0
2013-04-01,0.231972,4.72563,0.0,0.560338,0.0,0.0
2013-04-02,0.230372,4.72403,0.0,0.558738,0.0,0.0
2013-04-03,0.228772,4.72243,0.0,0.557138,0.0,0.0
2013-04-04,0.227172,4.72083,0.0,0.555538,0.0,0.0
2013-04-05,0.225572,4.71923,0.0,0.553938,0.0,0.0
2013-04-06,0.223972,4.71763,0.0,0.552338,0.0,0.0
2013-04-07,0.222372,4.71603,0.0,0.550738,0.0,0.0
