time,RH_living_room_(was_found_in_a_drawer_in_2016),RH_bedroom,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_30D,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_7D,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_1D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_30D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_7D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_1D,RH_living_room_(was_found_in_a_drawer_in_2016)_B3_overall_risk_code,RH_living_room_(was_found_in_a_drawer_in_2016)_B3_overall_risk_label,RH_bedroom_MA_30D,RH_bedroom_MA_7D,RH_bedroom_MA_1D,RH_bedroom_risk_30D,RH_bedroom_risk_7D,RH_bedroom_risk_1D,RH_bedroom_B3_overall_risk_code,RH_bedroom_B3_overall_risk_label
2012-03-19T04:00:00Z,49.6,49.3,52.1009900990099,52.1009900990099,52.1875,0,0,0,0,Safe,51.69009900990099,51.69009900990099,51.737500000000004,0,0,0,0,Safe
2012-03-19T05:00:00Z,49.0,48.8,52.07058823529412,52.07058823529412,52.050000000000004,0,0,0,0,Safe,51.661764705882355,51.661764705882355,51.60833333333333,0,0,0,0,Safe
2012-03-19T06:00:00Z,48.6,48.4,52.036893203883494,52.036893203883494,51.9125,0,0,0,0,Safe,51.63009708737864,51.63009708737864,51.48333333333333,0,0,0,0,Safe
2012-03-19T07:00:00Z,48.1,47.9,51.99903846153846,51.99903846153846,51.77916666666667,0,0,0,0,Safe,51.59423076923077,51.59423076923077,51.354166666666664,0,0,0,0,Safe
2012-03-19T08:00:00Z,47.7,47.6,51.95809523809524,51.95809523809524,51.64166666666666,0,0,0,0,Safe,51.55619047619047,51.55619047619047,51.22083333333334,0,0,0,0,Safe
2012-03-19T09:00:00Z,50.3,49.6,51.94245283018868,51.94245283018868,51.60833333333334,0,0,0,0,Safe,51.5377358490566,51.5377358490566,51.175000000000004,0,0,0,0,Safe
2012-03-19T10:00:00Z,50.1,49.5,51.925233644859816,51.925233644859816,51.54583333333334,0,0,0,0,Safe,51.518691588785046,51.518691588785046,51.1,0,0,0,0,Safe
2012-03-19T11:00:00Z,49.4,48.6,51.90185185185185,51.90185185185185,51.40833333333334,0,0,0,0,Safe,51.49166666666667,51.49166666666667,50.95416666666666,0,0,0,0,Safe
2012-03-19T12:00:00Z,48.5,48.0,51.87064220183486,51.87064220183486,51.22083333333334,0,0,0,0,Safe,51.45963302752294,51.45963302752294,50.770833333333336,0,0,0,0,Safe
2012-03-19T13:00:00Z,48.0,47.0,51.83545454545454,51.83545454545454,51.01250000000001,0,0,0,0,Safe,51.41909090909091,51.41909090909091,50.541666666666664,0,0,0,0,Safe
2012-03-19T14:00:00Z,46.9,46.6,51.79099099099099,51.79099099099099,50.75416666666666,0,0,0,0,Safe,51.37567567567567,51.37567567567567,50.2875,0,0,0,0,Safe
2012-03-19T15:00:00Z,46.6,46.4,51.74464285714286,51.74464285714286,50.487500000000004,0,0,0,0,Safe,51.331250000000004,51.331250000000004,50.03333333333333,0,0,0,0,Safe
2012-03-19T16:00:00Z,46.9,46.6,51.70176991150443,51.70176991150443,50.22083333333333,0,0,0,0,Safe,51.28938053097345,51.28938053097345,49.77916666666667,0,0,0,0,Safe
2012-03-19T17:00:00Z,45.6,45.1,51.64824561403508,51.64824561403508,49.89166666666667,0,0,0,0,Safe,51.23508771929825,51.23508771929825,49.458333333333336,0,0,0,0,Safe
